"Comment","Designator","Footprint","LCSC Part Number"
"WE_Switch1","B1","SMD","C7419906 "
"2xPushButtonB2","B2","SMD","C7419906 "
"2xPushButtonB1","B3","SMD","C7419906 "
"CLK1","B4","SMD","C7419906 "
"RESET1","B5","SMD","C7419906 "
"22μF1","C1","SMD,D4xL5.4mm","C4747977"
"PWR","J1","P=2.54mm","~"
"PWR1","J10","P=2.54mm","~"
"LOGIC1","J11","P=2.54mm","~"
"RET_ADDR1","J12","P=2.54mm","~"
"B_ADDR1","J13","P=2.54mm","~"
"INSTR_ADDR1","J14","P=2.54mm","~"
"EXT_CLK1","J15","P=2.54mm","~"
"DATA_IN","J2","P=2.54mm","~"
"DATA_OUT","J3","P=2.54mm","~"
"ADDR","J4","P=2.54mm","~"
"JA1","J5","P=2.54mm","~"
"JB1","J6","P=2.54mm","~"
"JC1","J7","P=2.54mm","~"
"MW1","J8","P=2.54mm","~"
"PWR1","J9","P=2.54mm","~"
"LED_YELLOW1","L1","0805","C2296"
"LED_BLUE6","L10","0805","C7371912"
"LED_BLUE7","L11","0805","C7371912"
"LED_BLUE8","L12","0805","C7371912"
"LED_YELLOW4","L13","0805","C2296"
"LED_YELLOW3","L14","0805","C2296"
"LED_YELLOW2","L15","0805","C2296"
"LED_YELLOW1","L16","0805","C2296"
"LED_YELLOW2","L2","0805","C2296"
"LED_YELLOW3","L3","0805","C2296"
"LED_YELLOW4","L4","0805","C2296"
"LED_BLUE1","L5","0805","C7371912"
"LED_BLUE2","L6","0805","C7371912"
"LED_BLUE3","L7","0805","C7371912"
"LED_BLUE4","L8","0805","C7371912"
"LED_BLUE5","L9","0805","C7371912"
"100Ω11","R1","0805","C2907294"
"100Ω1114","R10","0805","C2907294"
"100Ω1115","R11","0805","C2907294"
"100Ω1116","R12","0805","C2907294"
"220ΩP2","R13","1210","C305056 "
"220ΩP1","R14","1210","C305056 "
"220ΩA1","R15","0402","C1111 "
"220ΩA2","R16","0402","C1111 "
"220ΩA3","R17","0402","C1111 "
"220ΩA4","R18","0402","C1111 "
"220ΩB1","R19","0402","C1111 "
"100Ω111","R2","0805","C2907294"
"220ΩB2","R20","0402","C1111 "
"220ΩB3","R21","0402","C1111 "
"220ΩB4","R22","0402","C1111 "
"220Ω21111","R23","0402","C1111 "
"220Ω22111","R24","0402","C1111 "
"220Ω23111","R25","0402","C1111 "
"220Ω24111","R26","0402","C1111 "
"220Ω25111","R27","0402","C1111 "
"220Ω26111","R28","0402","C1111 "
"220Ω27111","R29","0402","C1111 "
"100Ω112","R3","0805","C2907294"
"220Ω28111","R30","0402","C1111 "
"220Ω11111","R31","0402","C1111 "
"220Ω12111","R32","0402","C1111 "
"220Ω13111","R33","0402","C1111 "
"220Ω14111","R34","0402","C1111 "
"220Ω15111","R35","0402","C1111 "
"220Ω16111","R36","0402","C1111 "
"220Ω17111","R37","0402","C1111 "
"220Ω18111","R38","0402","C1111 "
"100Ω4","R39","0805","C2907294"
"100Ω113","R4","0805","C2907294"
"100Ω3","R40","0805","C2907294"
"100Ω2","R41","0805","C2907294"
"100Ω1","R42","0805","C2907294"
"220Ω1","R43","0805","C17557 "
"470Ω1","R44","0805","C17710 "
"220Ω2","R45","0805","C17557 "
"100Ω12","R5","0805","C2907294"
"100Ω114","R6","0805","C2907294"
"100Ω1111","R7","0805","C2907294"
"100Ω1112","R8","0805","C2907294"
"100Ω1113","R9","0805","C2907294"
"74HC1","U1","DIP-14","~"
"ST_INV1","U10","DIP-14","~"
"REG1","U11","DIP-16","~"
"ADD1","U12","DIP-16","~"
"74HC2","U2","DIP-14","~"
"SN74189N1","U3","DIP-16","~"
"SN74189N2","U4","DIP-16","~"
"8xDIPA1","U5","DIP-16","~"
"8xDIP2","U6","DIP-16","~"
"8xDIP1","U7","DIP-16","~"
"MUX1","U8","DIP-16","~"
"MUX2","U9","DIP-16","~"
