"Comment","Designator","Package","MidX","MidY","Rotation","Side"
"WE_Switch1","B1","SMD",187.8,-47.592498,-90,"top"
"2xPushButtonB2","B2","SMD",183.4,-57.892498,90,"top"
"2xPushButtonB1","B3","SMD",193.9,-57.892498,90,"top"
"CLK1","B4","SMD",152.75,-112.5,0,"top"
"RESET1","B5","SMD",152.75,-118.75,0,"top"
"22μF1","C1","SMD,D4xL5.4mm",155.5,-106.75,0,"top"
"PWR","J1","P=2.54mm",110.725,-40.75,90,"top"
"PWR1","J10","P=2.54mm",110.515,-95.75,90,"top"
"LOGIC1","J11","P=2.54mm",117,-95.75,90,"top"
"RET_ADDR1","J12","P=2.54mm",106.25,-107.55,180,"top"
"B_ADDR1","J13","P=2.54mm",106.25,-121.63,180,"top"
"INSTR_ADDR1","J14","P=2.54mm",161.5,-99.71,0,"top"
"EXT_CLK1","J15","P=2.54mm",161.5,-115.96,0,"top"
"DATA_IN","J2","P=2.54mm",108.16,-67.804265,180,"top"
"DATA_OUT","J3","P=2.54mm",151.25,-69.12,180,"top"
"ADDR","J4","P=2.54mm",108.16,-83.764265,180,"top"
"JA1","J5","P=2.54mm",167.4,-61.052498,180,"top"
"J2","J6","P=2.54mm",172.6,-61.052498,180,"top"
"J1","J7","P=2.54mm",177.9,-61.052498,180,"top"
"MW1","J8","P=2.54mm",184.675,-40.752498,-90,"top"
"PWR1","J9","P=2.54mm",195.175,-40.752498,-90,"top"
"LED_YELLOW1","L1","0805",119.53,-44.775,90,"top"
"LED_BLUE6","L10","0805",143.568571,-44.775,90,"top"
"LED_BLUE7","L11","0805",146.091428,-44.775,90,"top"
"LED_BLUE8","L12","0805",148.614286,-44.775,90,"top"
"LED_YELLOW4","L13","0805",147.945,-100.6875,90,"top"
"LED_YELLOW3","L14","0805",151.198333,-100.6875,90,"top"
"LED_YELLOW2","L15","0805",154.451666,-100.6875,90,"top"
"LED_YELLOW1","L16","0805",157.705,-100.6875,90,"top"
"LED_YELLOW2","L2","0805",122.052857,-44.775,90,"top"
"LED_YELLOW3","L3","0805",124.575714,-44.775,90,"top"
"LED_YELLOW4","L4","0805",127.098571,-44.775,90,"top"
"LED_BLUE1","L5","0805",130.954286,-44.775,90,"top"
"LED_BLUE2","L6","0805",133.477143,-44.775,90,"top"
"LED_BLUE3","L7","0805",136,-44.775,90,"top"
"LED_BLUE4","L8","0805",138.522857,-44.775,90,"top"
"LED_BLUE5","L9","0805",141.045714,-44.775,90,"top"
"100Ω11","R1","0805",119.485,-41.175,90,"top"
"100Ω1114","R10","0805",143.587856,-41.175,90,"top"
"100Ω1115","R11","0805",146.12357,-41.175,90,"top"
"100Ω1116","R12","0805",148.659286,-41.175,90,"top"
"220ΩP2","R13","1210",183.4,-49.429998,90,"top"
"220ΩP1","R14","1210",193.9,-49.429998,90,"top"
"220ΩA1","R15","0402",167.4,-85.642498,-90,"top"
"220ΩA2","R16","0402",168.590815,-85.642498,-90,"top"
"220ΩA3","R17","0402",169.78163,-85.642498,-90,"top"
"220ΩA4","R18","0402",170.972445,-85.642498,-90,"top"
"220ΩB1","R19","0402",172.16326,-85.642498,-90,"top"
"100Ω111","R2","0805",122.052857,-41.175,90,"top"
"220ΩB2","R20","0402",173.354075,-85.642498,-90,"top"
"220ΩB3","R21","0402",174.54489,-85.642498,-90,"top"
"220ΩB4","R22","0402",175.73571,-85.642498,-90,"top"
"220Ω21111","R23","0402",177.9,-85.642498,-90,"top"
"220Ω22111","R24","0402",179.090815,-85.642498,-90,"top"
"220Ω23111","R25","0402",180.28163,-85.642498,-90,"top"
"220Ω24111","R26","0402",181.472445,-85.642498,-90,"top"
"220Ω25111","R27","0402",182.66326,-85.642498,-90,"top"
"220Ω26111","R28","0402",183.854075,-85.642498,-90,"top"
"220Ω27111","R29","0402",185.04489,-85.642498,-90,"top"
"100Ω112","R3","0805",124.605714,-41.175,90,"top"
"220Ω28111","R30","0402",186.23571,-85.642498,-90,"top"
"220Ω11111","R31","0402",188.4,-85.642498,-90,"top"
"220Ω12111","R32","0402",189.590815,-85.642498,-90,"top"
"220Ω13111","R33","0402",190.78163,-85.642498,-90,"top"
"220Ω14111","R34","0402",191.972445,-85.642498,-90,"top"
"220Ω15111","R35","0402",193.16326,-85.642498,-90,"top"
"220Ω16111","R36","0402",194.354075,-85.642498,-90,"top"
"220Ω17111","R37","0402",195.54489,-85.642498,-90,"top"
"220Ω18111","R38","0402",196.73571,-85.642498,-90,"top"
"100Ω4","R39","0805",147.945,-96.3375,-90,"top"
"100Ω113","R4","0805",127.143571,-41.175,90,"top"
"100Ω3","R40","0805",151.198333,-96.3375,-90,"top"
"100Ω2","R41","0805",154.451666,-96.3375,-90,"top"
"100Ω1","R42","0805",157.705,-96.3375,-90,"top"
"220Ω1","R43","0805",148,-106.9125,-90,"top"
"470Ω1","R44","0805",150.5,-106.9125,90,"top"
"220Ω2","R45","0805",145.25,-118.75,0,"top"
"100Ω12","R5","0805",130.909286,-41.175,90,"top"
"100Ω114","R6","0805",133.445,-41.175,90,"top"
"100Ω1111","R7","0805",135.980714,-41.175,90,"top"
"100Ω1112","R8","0805",138.516428,-41.175,90,"top"
"100Ω1113","R9","0805",141.052142,-41.175,90,"top"
"74HC1","U1","DIP-14",112.42,-58.58,90,"top"
"ST_INV1","U10","DIP-14",109.76,-121.46,0,"top"
"REG1","U11","DIP-16",135.5,-97.38,0,"top"
"ADD1","U12","DIP-16",122.5,-129.12,90,"top"
"74HC2","U2","DIP-14",132.75,-58.58,90,"top"
"SN74189N1","U3","DIP-16",118.26,-66.46,0,"top"
"SN74189N2","U4","DIP-16",136.76,-66.46,0,"top"
"8xDIPA1","U5","DIP-16",175.28,-83.092498,180,"top"
"8xDIP2","U6","DIP-16",185.745,-83.092498,180,"top"
"8xDIP1","U7","DIP-16",196.21,-83.092498,180,"top"
"MUX1","U8","DIP-16",112.3,-107,90,"top"
"MUX2","U9","DIP-16",112.3,-117.87,90,"top"
